number|headword|en|ru|tk
2368|服装|clothing; costume|одежда; костюм|egin-eşik; geýim
2369|副1|classifier for pairs and sets|счётное слово для пар и комплектов|jübütler we toplumlar üçin mukdar sözi
2370|富|rich; abundant|богатый; обильный|baý; bol
2371|付出|put in; devote; pay out|вкладывать; отдавать; затрачивать|sarp etmek; bagyşlamak; harçlamak
2372|负担|burden; bear expenses|бремя; нести расходы|ýük; çykdajysyny çekmek
2373|妇女|woman; women|женщина; женщины|aýal; aýal-gyzlar
2374|富有|wealthy; rich in|богатый; обладающий в изобилии|baý; köp zada eýe
2375|复制|copy; reproduce|копировать; воспроизводить|nusgalamak; göçürmek
2376|改革|reform|реформировать; реформа|özgertmek; özgertme
2377|改进|improve; refine|улучшать; совершенствовать|kämilleşdirmek; gowulandyrmak
2378|改善|improve; make better|улучшать; исправлять положение|gowulandyrmak
2379|改天|another day|в другой день|başga gün
2380|改正|correct; put right|исправлять|düzetmek
2381|盖|lid; cover; build|крышка; накрывать; строить|gapak; örtmek; gurmak
2382|概括|summarise; generalise|обобщать; кратко излагать|jemlemek; umumylaşdyrmak
2383|概念|concept; notion|понятие; концепция|düşünje
2384|敢于|dare to; have the courage to|осмеливаться; не бояться|mertlik etmek; gaýrat etmek
2385|刚好|just right; happen to|как раз; случайно оказаться|hut laýyk; tötänden
2386|高大|tall and big; imposing|высокий и крупный; величественный|uzyn boýly; belent we uly
2387|高档|high-end; high-grade|высококлассный; дорогой|ýokary hilli; gymmat
2388|高度|height; highly|высота; высокая степень|beýiklik; ýokary derejede
2389|高级|advanced; senior; high-grade|продвинутый; высший; высококлассный|ýokary derejeli; ösen
2390|高科技|high technology|высокие технологии|ýokary tehnologiýa
2391|高效|highly efficient|высокоэффективный|ýokary netijeli
2392|搞|do; carry out; work on|делать; заниматься; устраивать|etmek; meşgullanmak; guramak
2393|告别|say goodbye; leave behind|прощаться; расставаться|hoşlaşmak; yzda goýmak
2394|歌词|song lyrics|слова песни|aýdymyň sözleri
2395|歌曲|song|песня|aýdym
2396|隔|separate; be apart; after an interval|разделять; отстоять; через промежуток|aýyrmak; arasynda bolmak; aralyk goýmak
2397|格外|especially; unusually|особенно; необычайно|aýratyn; adatdan daşary
2398|个别|individual; exceptional; a few|отдельный; единичный; некоторые|aýry-aýry; käbir
2399|各行各业|all walks of life; all industries|все отрасли и профессии|ähli pudaklar we kärler
2400|个人|individual; personal|отдельный человек; личный|şahsyýet; şahsy
2401|个性|personality; individuality|характер; индивидуальность|şahsy häsiýet; özboluşlylyk
2402|各自|each one's own; respectively|каждый свой; каждый отдельно|her kimiň öz; hersi aýratyn
2403|根|root; classifier for long thin objects|корень; счётное слово для длинных тонких предметов|kök; uzyn inçe zatlar üçin mukdar sözi
2404|根本|fundamental; basically; at all|основной; в корне; совершенно|düýpli; aslynda; asla
2405|更换|replace; change|заменять; менять|çalşyrmak
2406|更新|update; renew|обновлять; обновление|täzelemek; täzeleniş
2407|公布|announce; make public|объявлять; обнародовать|yglan etmek; köpçülige ýetirmek
2408|工程|engineering project; construction|инженерные работы; проект; строительство|inženerçilik işi; gurluşyk
2409|工程师|engineer|инженер|inžener
2410|工具|tool; instrument|инструмент; орудие|gural
2411|功能|function; capability|функция; возможность|wezipe; mümkinçilik
2412|公平|fair; impartial|справедливый; беспристрастный|adalatly; tarap tutmaýan
2413|公务员|civil servant|государственный служащий|döwlet gullukçysy
2414|恭喜|congratulate|поздравлять|gutlamak
2415|工业|industry; manufacturing|промышленность|senagat
2416|工艺|craft; production technique|ремесло; технология производства|senet; önümçilik usuly
2417|公寓|apartment; apartment building|квартира; многоквартирный дом|kwartira; köp öýli bina
2418|贡献|contribute; contribution|вносить вклад; вклад|goşant goşmak; goşant
2419|共享|share jointly|совместно пользоваться|bilelikde peýdalanmak
2420|沟通|communicate; connect|общаться; налаживать связь|aragatnaşyk etmek; düşünişmek
2421|构成|constitute; composition|составлять; структура|emele getirmek; düzüm
2422|古|ancient; old|древний; старинный|gadymy; köne
2423|鼓|drum; beat; bulging|барабан; бить; выпуклый|deprek; kakmak; güberçek
2424|古代|ancient times|древность; древние времена|gadymy döwür
2425|古老|ancient; age-old|древний; старинный|gadymy; gadymdan galan
2426|鼓掌|applaud; clap|аплодировать; хлопать в ладоши|el çarpmak
2427|固定|fix; secure; make permanent|закреплять; фиксировать|berkitmek; durnuklaşdyrmak
2428|故乡|hometown; native place|родной край; родина|dogduk mekan
2429|挂号|register for medical care; send registered mail|записываться к врачу; регистрировать письмо|lukmana ýazylmak; haty bellige almak
2430|怪|strange; blame; quite|странный; винить; довольно|geň; günäkärlemek; juda
2431|关闭|close; shut down|закрывать; выключать|ýapmak; öçürmek
2432|观察|observe; watch closely|наблюдать; изучать|synlamak; üns bilen seretmek
2433|观点|viewpoint; opinion|точка зрения; мнение|garaýyş; pikir
2434|观念|idea; concept; outlook|представление; понятие; взгляд|düşünje; garaýyş
2435|冠军|champion; championship winner|чемпион; победитель|çempion; ýeňiji
2436|光临|honour with a visit|посетить; пожаловать (вежливо)|hormat bilen myhmançylyga gelmek
2437|光明|light; bright; promising|свет; светлый; перспективный|ýagtylyk; ýagty; geljegi gowy
2438|光线|light; ray of light|свет; луч|ýagtylyk; şöhle
2439|广|wide; extensive|широкий; обширный|giň; giň gerimli
2440|广场|public square; plaza|площадь|meýdança
2441|广大|vast; numerous|обширный; широкий; многочисленный|giň; köp sanly
2442|广泛|extensive; widespread|широкий; распространённый|giň gerimli; giňden ýaýran
2443|规律|regular pattern; law; regular|закономерность; закон; регулярный|kanunalaýyklyk; düzgünli
2444|规模|scale; size|масштаб; размах|möçber; gerim
2445|规则|rule; regular|правило; правильный по форме|düzgün; kadaly
2446|贵姓|your surname (polite)|ваша фамилия (вежливо)|familiýaňyz (sypaýy)
2447|柜子|cabinet; cupboard|шкаф; тумба|şkaf; tekjeli şkaf
2448|滚|roll; boil; get lost|катиться; кипеть; убираться прочь|togalanmak; gaýnamak; ýok bolmak
2449|锅|cooking pot; pan|кастрюля; котёл; сковорода|gazan; taba
2450|国画|traditional Chinese painting|традиционная китайская живопись|hytaýyň däp bolan suratçylyk sungaty
2451|国庆|National Day|национальный праздник; День образования государства|milli baýram; döwletiň döredilen güni
2452|果然|as expected; sure enough|действительно; как и ожидалось|garaşylyşy ýaly; hakykatdan
2453|果实|fruit; result|плод; результат|miwe; netije
2454|过度|excessive|чрезмерный|aşa; çendenaşa
2455|过分|excessive; going too far|чрезмерный; переходящий границы|çendenaşa; hetden aşan
2456|过敏|be allergic; be hypersensitive|страдать аллергией; быть слишком чувствительным|allergiýasy bolmak; aşa duýgur bolmak
2457|过期|expire; become overdue|истекать; быть просроченным|möhleti geçmek
2458|过于|too; excessively|слишком; чрезмерно|aşa; çendenaşa
2459|哈|ha; sound of laughter|ха; звук смеха|ha; gülkiniň sesi
2460|海关|customs|таможня|gümrük
2461|海外|overseas; abroad|за морем; за рубежом|deňziň aňyrsy; daşary ýurt
2462|海鲜|seafood|морепродукты|deňiz önümleri
2463|含|contain; hold in the mouth|содержать; держать во рту|öz içine almak; agzyňda saklamak
2464|含量|content; amount contained|содержание; количество вещества|düzümdäki mukdar
2465|含有|contain; include|содержать в себе|özünde saklamak; öz içine almak
2466|汗水|sweat; perspiration|пот|der
2467|行|row; line; trade|ряд; строка; отрасль|hatar; setir; kär
2468|行业|industry; trade|отрасль; сфера деятельности|pudak; kär
2469|好评|favourable review; praise|положительный отзыв; похвала|oňyn syn; öwgi
2470|好运|good luck|удача|şowlulyk
2471|好转|improve; take a turn for the better|улучшаться; идти на поправку|gowulaşmak; sagalyp başlamak
2472|好|be fond of; like|любить; иметь склонность|halamak; höwesli bolmak
2473|好奇|curious|любопытный|bilesigeliji
2474|合|close; join; fit|закрывать; соединять; подходить|ýapmak; birleşdirmek; laýyk gelmek
2475|合法|legal; lawful|законный|kanuny
2476|盒饭|boxed meal; packed lunch|еда в коробке; обед в контейнере|gapdaky taýýar nahar
2477|合理|reasonable; rational|разумный; обоснованный|ýerlikli; paýhasly
2478|河流|river; rivers|река; реки|derýa; derýalar
2479|合同|contract; agreement|договор; контракт|şertnama
2480|合影|take a group photo; group photo|фотографироваться вместе; совместное фото|bile surata düşmek; bilelikdäki surat
2481|合作|cooperate; collaboration|сотрудничать; сотрудничество|hyzmatdaşlyk etmek; hyzmatdaşlyk
2482|黑|black; dark; illegal|чёрный; тёмный; незаконный|gara; garaňky; bikanun
2483|红|red; popular; successful|красный; популярный; успешный|gyzyl; meşhur; üstünlikli
2484|猴子|monkey|обезьяна|maýmyn
2485|厚度|thickness|толщина|galyňlyk
2486|后果|consequence; aftermath|последствие; исход|netije; soňky täsir
2487|忽视|ignore; overlook|игнорировать; пренебрегать|üns bermezlik; gözden salmak
2488|呼吸|breathe; respiration|дышать; дыхание|dem almak; dem alyş
2489|湖|lake|озеро|köl
2490|蝴蝶|butterfly|бабочка|kebelek
2491|胡同|alley; traditional narrow lane|переулок; хутун|dar köçe; hutun
2492|互动|interact; interaction|взаимодействовать; взаимодействие|özara täsir etmek; özara hereket
2493|户外|outdoors|на открытом воздухе|açyk howa; daşarda
2494|花费|spend; cost|тратить; расходовать|harçlamak; sarp etmek
2495|滑|slippery; slide|скользкий; скользить|taýgançak; typmak
2496|划|row; paddle; scratch|грести; царапать|küreklemek; çyzmak
2497|化|transform; change into; -ise|превращаться; преобразовывать; суффикс изменения|öwürmek; öwrülmek; üýtgemegi aňladýan goşulma
2498|话费|phone charges|плата за телефонную связь|telefon tölegi
2499|画面|picture; scene; image on a screen|изображение; кадр; картина|şekil; kadr; görnüş
2500|话题|topic of conversation|тема разговора|gürrüniň temasy
